Daily,Value
7/24/2018,32.2
7/25/2018,31.36
7/26/2018,30.47
7/27/2018,29.27
7/28/2018,27.75
7/29/2018,26.09
7/30/2018,24.56
7/31/2018,23.15
08-01-2018,22.48
08-02-2018,21.14
08-03-2018,20.16
08-04-2018,20.29
08-05-2018,19.29
08-06-2018,18.73
08-07-2018,17.71
08-08-2018,17.09
08-09-2018,16.49
08-10-2018,15.96
08-11-2018,17.36
08-12-2018,24.04
8/13/2018,24.25
8/14/2018,23.57
8/15/2018,24.47
8/16/2018,34.93
8/17/2018,34.12
8/18/2018,32.42
8/19/2018,31
8/20/2018,34.48
8/21/2018,36.65
8/22/2018,35.17
8/23/2018,34.1
8/24/2018,33.25
8/25/2018,32.98
8/26/2018,31.59
8/27/2018,33.68
8/28/2018,32.57
8/29/2018,30.75
8/30/2018,29.09
8/31/2018,27.88
09-01-2018,27.05
09-02-2018,25.89
09-03-2018,24.9
09-04-2018,23.41
09-05-2018,22.41
09-06-2018,21.17
09-07-2018,20.12
09-08-2018,19.01
09-09-2018,17.79
09-10-2018,17.03
09-11-2018,16.61
09-12-2018,15.56
9/13/2018,14.59
9/14/2018,13.67
9/15/2018,12.96
9/16/2018,12.23
9/17/2018,11.59
9/18/2018,16.45
9/19/2018,15.9
9/20/2018,21.34
9/21/2018,21.38
9/22/2018,20.54
9/23/2018,19.31
9/24/2018,18.22
9/25/2018,17.71
9/26/2018,19.23
9/27/2018,19.75
9/28/2018,22.64
9/29/2018,22.07
9/30/2018,21.43
10-01-2018,24.57
10-02-2018,27.25
10-03-2018,26.69
10-04-2018,27.3
10-05-2018,25.95
10-06-2018,24.88
10-07-2018,23.4
10-08-2018,22.03
10-09-2018,20.97
10-10-2018,19.77
10-11-2018,18.64
10-12-2018,17.6
10/13/2018,16.66
10/14/2018,15.77
10/15/2018,14.92
10/16/2018,14.62
10/17/2018,15.14
10/18/2018,18.46
10/19/2018,21.58
10/20/2018,21.58
10/21/2018,20.34
10/22/2018,19.28
10/23/2018,18.3
10/24/2018,17.36
10/25/2018,16.6
10/26/2018,15.86
10/27/2018,15.11
10/28/2018,14.43
10/29/2018,13.79
10/30/2018,13.19
10/31/2018,12.62
11-01-2018,12.07
11-02-2018,11.58
11-03-2018,11.51
11-04-2018,13.5
11-05-2018,15.22
11-06-2018,14.77
11-07-2018,14.12
11-08-2018,13.52
11-09-2018,12.96
11-10-2018,12.43
11-11-2018,12.17
11-12-2018,11.7
11/13/2018,11.24
11/14/2018,11.04
11/15/2018,10.61
11/16/2018,10.22
11/17/2018,9.84
11/18/2018,9.54
11/19/2018,9.5
11/20/2018,11.69
11/21/2018,11.37
11/22/2018,10.97
11/23/2018,10.59
11/24/2018,10.39
11/25/2018,10.21
11/26/2018,9.85
11/27/2018,9.53
11/28/2018,9.21
11/29/2018,8.88
11/30/2018,8.71
12-01-2018,8.43
12-02-2018,8.15
12-03-2018,7.88
12-04-2018,7.75
12-05-2018,7.47
12-06-2018,7.21
12-07-2018,6.96
12-08-2018,6.72
12-09-2018,6.49
12-10-2018,6.29
12-11-2018,6.09
12-12-2018,5.89
12/13/2018,5.71
12/14/2018,5.54
12/15/2018,5.38
12/16/2018,5.23
12/17/2018,5.09
12/18/2018,4.95
12/19/2018,4.82
12/20/2018,4.69
12/21/2018,4.55
12/22/2018,4.42
12/23/2018,4.3
12/24/2018,4.18
12/25/2018,4.07
12/26/2018,4.01
12/27/2018,3.95
12/28/2018,3.9
12/29/2018,3.84
12/30/2018,3.77
12/31/2018,3.7
01-01-2019,3.66
01-02-2019,3.61
01-03-2019,3.56
01-04-2019,3.51
01-05-2019,3.46
01-06-2019,3.42
01-07-2019,3.38
01-08-2019,3.36
01-09-2019,3.33
01-10-2019,3.29
01-11-2019,3.26
01-12-2019,3.22
1/13/2019,3.19
1/14/2019,3.17
1/15/2019,3.14
1/16/2019,3.12
1/17/2019,3.1
1/18/2019,3.08
1/19/2019,3.07
1/20/2019,3.05
1/21/2019,3.03
1/22/2019,3.01
1/23/2019,3
1/24/2019,2.99
1/25/2019,2.98
1/26/2019,2.97
1/27/2019,2.96
1/28/2019,2.95
1/29/2019,2.94
1/30/2019,2.93
1/31/2019,2.92
02-01-2019,2.92
02-02-2019,2.91
02-03-2019,2.9
02-04-2019,2.89
02-05-2019,2.88
02-06-2019,2.88
02-07-2019,2.87
02-08-2019,2.87
02-09-2019,2.87
02-10-2019,2.86
02-11-2019,2.86
02-12-2019,2.85
2/13/2019,2.85
2/14/2019,2.85
2/15/2019,2.85
2/16/2019,2.84
2/17/2019,2.84
2/18/2019,2.84
2/19/2019,2.84
2/20/2019,2.83
2/21/2019,2.83
2/22/2019,2.83
2/23/2019,2.83
2/24/2019,2.83
2/25/2019,2.83
2/26/2019,2.83
2/27/2019,2.82
2/28/2019,2.82
03-01-2019,2.82
03-02-2019,2.82
03-03-2019,2.82
03-04-2019,2.82
03-05-2019,2.82
03-06-2019,2.82
03-07-2019,2.82
03-08-2019,2.82
03-09-2019,2.82
03-10-2019,2.82
03-11-2019,2.82
03-12-2019,2.82
3/13/2019,2.82
3/14/2019,2.82
3/15/2019,2.82
3/16/2019,2.82
3/17/2019,2.82
3/18/2019,2.82
3/19/2019,2.82
3/20/2019,2.82
3/21/2019,2.82
3/22/2019,2.82
3/23/2019,2.82
3/24/2019,2.82
3/25/2019,2.82
3/26/2019,2.82
3/27/2019,1.26
3/28/2019,1.26
3/29/2019,1.26
3/30/2019,1.26
3/31/2019,1.26
04-01-2019,1.26
04-02-2019,1.26
04-03-2019,1.26
04-04-2019,1.4
04-05-2019,1.47
04-06-2019,1.45
04-07-2019,1.43
04-08-2019,1.42
04-09-2019,1.4
04-10-2019,1.39
04-11-2019,1.37
04-12-2019,1.37
4/13/2019,2.96
4/14/2019,6.04
4/15/2019,7.32
4/16/2019,6.91
4/17/2019,6.42
4/18/2019,5.95
4/19/2019,5.52
4/20/2019,5.1
4/21/2019,4.74
4/22/2019,4.4
4/23/2019,4.09
4/24/2019,3.81
4/25/2019,3.59
4/26/2019,3.35
4/27/2019,3.16
4/28/2019,2.95
4/29/2019,2.78
4/30/2019,2.63
05-01-2019,2.49
05-02-2019,2.37
05-03-2019,2.26
05-04-2019,2.16
05-05-2019,2.07
05-06-2019,1.99
05-07-2019,1.94
05-08-2019,1.88
05-09-2019,1.83
05-10-2019,1.77
05-11-2019,1.73
05-12-2019,1.69
5/13/2019,1.65
5/14/2019,1.63
5/15/2019,1.66
5/16/2019,1.63
5/17/2019,1.6
5/18/2019,1.57
5/19/2019,1.55
5/20/2019,1.53
5/21/2019,1.53
5/22/2019,1.52
5/23/2019,1.5
5/24/2019,1.49
5/25/2019,1.48
5/26/2019,1.47
